Type Vehicule;Carburant;Norme Euro;Polluant;Type Route;FE;
VP;Essence;Euro 5;COVNM;Route;0.002;
PL;Essence;Euro 5;NH3;Route;0.002;
VUL;Diesel;Euro 5;COVNM;Route;0;
VP;Essence;Euro 5;SO2;Ville;0.0058;
VUL;Diesel;Euro 5;CO;Route;0;
VUL;Diesel;Euro 5;NH3;Route;0.002;
PL;Essence;Euro 5;N2O;Route;0.006;
PL;Diesel;Euro 5;UPM2.5;Route;0.041;
VP;Essence;Euro 5;UPM1.0;Ville;0.002;
PL;Diesel;Euro 5;UPM10;Ville;0.1;
PL;Diesel;Euro 5;UPM10;Route;0.082;
VP;Essence;Euro 5;CH4;Ville;0.02885;
VP;Essence;Euro 5;CH4;Route;0.00269;
Bus;Diesel;Euro 5;PM10;Ville;0.07284;
PL;Essence;Euro 5;NOx;Route;4.2707;
PL;Essence;Euro 5;NH3;Ville;0.002;
VUL;Diesel;Euro 5;UPM1.0;Route;0.002;
BUS;Diesel;Euro 5;UPM2.5;Route;0.05;
VUL;Essence;Euro 5;UPM10;Ville;0.041;
PL;Diesel;Euro 5;CO2;Ville;1204.2238;
PL;Diesel;Euro 5;PM10;Ville;0.07629;
VP;Diesel;Euro 5;UTSP;Ville;0.042;
VP;Essence;Euro 5;NOx;Ville;0.07679;
Bus;Diesel;Euro 5;PM10;Route;0.03412;
VUL;Diesel;Euro 5;UPM10;Route;0.028;
PL;Diesel;Euro 5;NOx;Ville;8.53165;
VUL;Essence;Euro 5;COVNM;Ville;0.015;
VP;Essence;Euro 5;NH3;Ville;0.012;
VUL;Essence;Euro 5;UTSP;Ville;0.058;
VP;Diesel;Euro 5;NH3;Route;0.002;
VUL;Diesel;Euro 5;PM1.0;Ville;0.00129;
PL;Essence;Euro 5;N2O;Ville;0.006;
VP;Diesel;Euro 5;UTSP;Route;0.033;
VUL;Essence;Euro 5;N2O;Ville;0.00949;
PL;Essence;Euro 5;UPM2.5;Ville;0.058;
Bus;Diesel;Euro 5;CH4;Route;0.0024;
VUL;Essence;Euro 5;CH4;Route;0.002;
PL;Essence;Euro 5;UPM2.5;Route;0.049;
VP;Diesel;Euro 5;PM2.5;Route;0.00178;
VP;Essence;Euro 5;UPM2.5;Route;0.012;
PL;Diesel;Euro 5;PM2.5;Ville;0.07629;
Bus;Diesel;Euro 5;PM2.5;Ville;0.07284;
PL;Essence;Euro 5;CO2;Route;379.44103;
PL;Diesel;Euro 5;CO;Ville;1.994;
VUL;Essence;Euro 5;NOx;Ville;0.07342;
VUL;Diesel;Euro 5;NH3;Ville;0.001;
VUL;Diesel;Euro 5;CO2;Route;198.11712;
PL;Diesel;Euro 5;PM1.0;Ville;0.07049;
VUL;Essence;Euro 5;NH3;Ville;0.012;
VUL;Essence;Euro 5;ECOVNM;Ville;0.125;
Bus;Diesel;Euro 5;CO2;Route;599.57148;
BUS;Diesel;Euro 5;UPM10;Ville;0.117;
VP;Diesel;Euro 5;N2O;Ville;0.01194;
VP;Diesel;Euro 5;UPM10;Route;0.021;
PL;Diesel;Euro 5;SO2;Ville;0.03793;
PL;Diesel;Euro 5;PM1.0;Route;0.0352;
VUL;Diesel;Euro 5;UPM10;Ville;0.041;
BUS;Diesel;Euro 5;UPM1.0;Route;0.006;
VP;Diesel;Euro 5;UPM1.0;Ville;0.002;
PL;Essence;Euro 5;PM1.0;Route;0.00367;
PL;Essence;Euro 5;UPM1.0;Route;0.006;
VP;Essence;Euro 5;UTSP;Ville;0.042;
BUS;Diesel;Euro 5;UTSP;Route;0.149;
VP;Diesel;Euro 5;PM10;Ville;0.0028;
Bus;Diesel;Euro 5;N2O;Route;0.03781;
PL;Diesel;Euro 5;NH3;Ville;0.011;
VP;Essence;Euro 5;CO2;Route;114.58366;
BUS;Diesel;Euro 5;CO;Route;0.836;
VUL;Essence;Euro 5;CO;Route;0.416;
VUL;Diesel;Euro 5;PM10;Ville;0.0014;
VUL;Diesel;Euro 5;CO;Ville;0;
VP;Essence;Euro 5;UPM10;Route;0.021;
VUL;Diesel;Euro 5;PM10;Route;0.00094;
PL;Essence;Euro 5;PM2.5;Route;0.00492;
BUS;Diesel;Euro 5;UPM10;Route;0.096;
PL;Essence;Euro 5;UPM10;Ville;0.115;
VUL;Diesel;Euro 5;CH4;Ville;0.00007;
Bus;Diesel;Euro 5;CH4;Ville;0.00525;
VUL;Essence;Euro 5;N2O;Route;0.00022;
VP;Essence;Euro 5;NH3;Route;0.009;
VP;Essence;Euro 5;SO2;Route;0.00359;
VUL;Diesel;Euro 5;UTSP;Route;0.044;
VP;Essence;Euro 5;UPM10;Ville;0.029;
VUL;Essence;Euro 5;PM1.0;Ville;0.00066;
VUL;Diesel;Euro 5;NOx;Route;1.15689;
VUL;Essence;Euro 5;CH4;Ville;0.02936;
VUL;Diesel;Euro 5;PM1.0;Route;0.00087;
VP;Essence;Euro 5;CO2;Ville;184.84703;
PL;Diesel;Euro 5;N2O;Route;0.04481;
BUS;Diesel;Euro 5;UTSP;Ville;0.173;
VP;Diesel;Euro 5;CH4;Ville;0.00007;
VUL;Essence;Euro 5;SO2;Route;0.00428;
PL;Diesel;Euro 5;UTSP;Route;0.127;
VUL;Diesel;Euro 5;NOx;Ville;1.19612;
VP;Diesel;Euro 5;SO2;Ville;0.00595;
VUL;Essence;Euro 5;NOx;Route;0.01461;
VUL;Diesel;Euro 5;UPM2.5;Route;0.016;
PL;Diesel;Euro 5;UPM1.0;Ville;0.006;
VP;Essence;Euro 5;N2O;Ville;0.00253;
Bus;Diesel;Euro 5;SO2;Route;0.01889;
VP;Diesel;Euro 5;COVNM;Ville;0.001;
PL;Essence;Euro 5;UPM10;Route;0.094;
VP;Diesel;Euro 5;COVNM;Route;0.001;
VUL;Essence;Euro 5;NH3;Route;0.009;
PL;Essence;Euro 5;CH4;Route;0.11;
VP;Essence;Euro 5;PM2.5;Route;0.00123;
PL;Diesel;Euro 5;NH3;Route;0.011;
VUL;Essence;Euro 5;PM1.0;Route;0.00153;
BUS;Diesel;Euro 5;CO;Ville;2.451;
PL;Essence;Euro 5;UTSP;Route;0.147;
PL;Diesel;Euro 5;CH4;Route;0.00458;
PL;Diesel;Euro 5;N2O;Ville;0.03317;
VP;Essence;Euro 6;PM2.5;Ville;0.00167;
VUL;Essence;Euro 6;ECOVNM;Ville;0.118;
VUL;Diesel;Euro 6;NH3;Route;0.007;
VP;Essence;Euro 6;NOx;Route;0.02077;
VUL;Essence;Euro 6;PM2.5;Ville;0.00089;
VUL;Essence;Euro 6;UPM10;Ville;0.041;
PL;Essence;Euro 6;UPM1.0;Ville;0.008;
Bus;Diesel;Euro 6;NOx;Ville;0.68019;
BUS;Diesel;Euro 6;UPM1.0;Ville;0.008;
VP;Diesel;Euro 6;COVNM;Route;0.001;
VUL;Essence;Euro 6;CH4;Route;0.002;
PL;Essence;Euro 6;COVNM;Route;2.546;
PL;Essence;Euro 6;N2O;Ville;0.006;
VUL;Essence;Euro 6;NOx;Route;0.01461;
VUL;Essence;Euro 6;UPM2.5;Ville;0.022;
VP;Diesel;Euro 6;CO2;Route;130.16467;
Bus;Diesel;Euro 6;SO2;Route;0.01899;
VP;Essence;Euro 6;UPM2.5;Route;0.012;
VUL;Essence;Euro 6;ECOVNM;Ville;0.118;
PL;Diesel;Euro 6;UPM1.0;Route;0.004;
VP;Essence;Euro 6;UTSP;Ville;0.042;
VUL;Essence;Euro 6;NOx;Ville;0.07342;
VUL;Essence;Euro 6;CO;Route;0.416;
VUL;Essence;Euro 6;NH3;Ville;0.011;
VUL;Essence;Euro 6;UPM1.0;Ville;0.003;
VP;Essence;Euro 6;ECOVNM;Ville;0.092;
VP;Essence;Euro 6;PM2.5;Route;0.00128;
VP;Essence;Euro 6;PM10;Route;0.00128;
PL;Essence;Euro 6;NH3;Route;0.002;
PL;Essence;Euro 6;UPM2.5;Route;0.049;
VUL;Essence;Euro 6;UPM1.0;Route;0.002;
Bus;Diesel;Euro 6;PM2.5;Route;0.00343;
VUL;Diesel;Euro 6;UPM1.0;Ville;0.003;
VP;Essence;Euro 6;UPM2.5;Ville;0.015;
VUL;Essence;Euro 6;PM1.0;Ville;0.00066;
PL;Essence;Euro 6;CH4;Ville;0.14;
PL;Essence;Euro 6;PM1.0;Ville;0.00815;
PL;Essence;Euro 6;PM2.5;Ville;0.01091;
VUL;Essence;Euro 6;UPM2.5;Route;0.016;
VP;Diesel;Euro 6;UPM1.0;Ville;0.002;
VP;Diesel;Euro 6;UPM10;Route;0.021;
VUL;Essence;Euro 6;CO2;Ville;231.13265;
VUL;Essence;Euro 6;CH4;Ville;0.02936;
BUS;Diesel;Euro 6;UTSP;Route;0.148;
VUL;Essence;Euro 6;NH3;Route;0.008;
BUS;Diesel;Euro 6;CO;Ville;0.418;
PL;Diesel;Euro 6;UPM1.0;Ville;0.006;
PL;Diesel;Euro 6;COVNM;Route;0.025;
VUL;Diesel;Euro 6;NOx;Ville;0.9665;
VP;Essence;Euro 6;ECOVNM;Route;0.035;
PL;Diesel;Euro 6;UPM2.5;Route;0.04;
VUL;Essence;Euro 6;UTSP;Route;0.044;
PL;Diesel;Euro 6;CO2;Route;789.82456;
VUL;Essence;Euro 6;CO2;Route;133.98112;
VP;Diesel;Euro 6;CO2;Ville;186.82246;
PL;Diesel;Euro 6;NOx;Route;0.29119;
VP;Diesel;Euro 6;N2O;Ville;0.00995;
PL;Diesel;Euro 6;PM1.0;Route;0.00375;
VP;Essence;Euro 6;COVNM;Route;0.004;
VUL;Diesel;Euro 6;CO;Route;0;
VP;Diesel;Euro 6;PM2.5;Ville;0.00203;
VUL;Diesel;Euro 6;UPM10;Route;0.028;
VUL;Diesel;Euro 6;UTSP;Ville;0.058;
VP;Diesel;Euro 6;PM10;Ville;0.00203;
Bus;Diesel;Euro 6;CO2;Ville;1144.80375;
BUS;Diesel;Euro 6;UPM1.0;Route;0.006;
BUS;Diesel;Euro 6;COVNM;Ville;0.06;
PL;Essence;Euro 6;PM10;Ville;0.01091;
PL;Essence;Euro 6;CO2;Ville;487.76907;
PL;Diesel;Euro 6;N2O;Route;0.04744;
PL;Diesel;Euro 6;NOx;Ville;1.0882;
BUS;Diesel;Euro 6;UPM2.5;Ville;0.059;
VUL;Essence;Euro 6;N2O;Ville;0.00942;
VP;Essence;Euro 6;PM10;Ville;0.00167;
PL;Diesel;Euro 6;PM2.5;Ville;0.00907;
PL;Essence;Euro 6;NOx;Ville;5.31116;
PL;Diesel;Euro 6;N2O;Ville;0.0452;
VUL;Essence;Euro 6;SO2;Ville;0.00725;
VUL;Essence;Euro 6;PM2.5;Route;0.00205;
VP;Essence;Euro 6;CO;Ville;0.298;
Bus;Diesel;Euro 6;CH4;Route;0.0024;
PL;Diesel;Euro 6;PM10;Ville;0.00907;
VUL;Diesel;Euro 6;UPM2.5;Ville;0.022;
VP;Diesel;Euro 6;NH3;Ville;0.003;
PL;Essence;Euro 6;CO;Route;3.123;
PL;Essence;Euro 6;PM1.0;Route;0.00367;
PL;Essence;Euro 6;UPM1.0;Route;0.006;
Bus;Diesel;Euro 6;N2O;Ville;0.03828;
Bus;Diesel;Euro 6;PM10;Route;0.00343;
BUS;Diesel;Euro 6;COVNM;Route;0.023;
VUL;Diesel;Euro 6;SO2;Ville;0.00803;
VP;Diesel;Euro 6;PM10;Route;0.00118;
VP;Essence;Euro 6;COVNM;Ville;0.019;
VUL;Diesel;Euro 6;CO;Ville;0;
VUL;Diesel;Euro 6;NOx;Route;0.93484;
VP;Essence;Euro 6;PM1.0;Route;0.00095;
VP;Diesel;Euro 6;CO;Route;0.04;
Bus;Diesel;Euro 6;CH4;Ville;0.00525;
VP;Essence;Euro 6;ECOVNM;Route;0.035;
PL;Diesel;Euro 6;CO2;Ville;1320.54691;
VUL;Diesel;Euro 6;UPM10;Ville;0.041;
VUL;Diesel;Euro 6;PM1.0;Ville;0.00129;
VUL;Essence;Euro 6;PM10;Ville;0.00089;
PL;Diesel;Euro 6;UPM10;Ville;0.099;
Bus;Diesel;Euro 6;NOx;Route;0.15788;
Bus;Diesel;Euro 6;N2O;Route;0.03971;
VUL;Essence;Euro 6;PM1.0;Route;0.00153;
VP;Diesel;Euro 6;UPM2.5;Route;0.012;
VP;Essence;Euro 6;CO2;Route;111.37076;
PL;Diesel;Euro 6;UPM2.5;Ville;0.048;
VP;Essence;Euro 6;UPM1.0;Ville;0.002;
VP;Essence;Euro 6;CO;Route;0.221;
PL;Diesel;Euro 6;NH3;Route;0.003;
VP;Essence;Euro 6;N2O;Route;0.00015;
PL;Diesel;Euro 6;CO;Ville;0.307;
VUL;Diesel;Euro 6;PM2.5;Route;0.00094;
PL;Essence;Euro 6;COVNM;Ville;6.621;
PL;Diesel;Euro 6;UPM10;Route;0.081;
PL;Diesel;Euro 6;CH4;Route;0.00486;
PL;Essence;Euro 6;NH3;Ville;0.002;
PL;Diesel;Euro 6;SO2;Ville;0.0416;
Bus;Diesel;Euro 6;SO2;Ville;0.03606;
PL;Diesel;Euro 6;SO2;Route;0.02488;
VUL;Essence;Euro 6;PM10;Route;0.00205;
VUL;Diesel;Euro 6;PM2.5;Ville;0.0014;
PL;Diesel;Euro 6;CH4;Ville;0.00475;
BUS;Diesel;Euro 6;UPM2.5;Route;0.05;
VP;Diesel;Euro 6;CO;Ville;0.066;
VUL;Diesel;Euro 6;CH4;Ville;0.00007;
VP;Essence;Euro 6;ECOVNM;Ville;0.092;
VUL;Diesel;Euro 6;NH3;Ville;0.003;
PL;Essence;Euro 6;CO2;Route;335.4041;
VUL;Diesel;Euro 6;CO2;Ville;254.84348;
PL;Essence;Euro 6;UPM2.5;Ville;0.058;
PL;Diesel;Euro 6;PM2.5;Route;0.00406;
Bus;Diesel;Euro 6;PM1.0;Ville;0.0082;
PL;Essence;Euro 6;SO2;Ville;0.0153;
BUS;Diesel;Euro 6;UPM10;Route;0.095;
VP;Essence;Euro 6;NOx;Ville;0.08004;
VP;Essence;Euro 6;N2O;Ville;0.00227;
VP;Diesel;Euro 6;UTSP;Ville;0.042;
BUS;Diesel;Euro 6;UTSP;Ville;0.172;
VUL;Essence;Euro 6;CO;Ville;0.563;
VP;Diesel;Euro 6;PM1.0;Ville;0.00188;
VP;Diesel;Euro 6;PM2.5;Route;0.00118;
Bus;Diesel;Euro 6;PM1.0;Route;0.00317;
VP;Essence;Euro 6;CH4;Ville;0.0283;
VUL;Diesel;Euro 6;PM1.0;Route;0.00087;
VP;Essence;Euro 6;UPM1.0;Route;0.001;
VUL;Diesel;Euro 6;UPM1.0;Route;0.002;
VP;Diesel;Euro 6;NOx;Ville;0.55307;
VUL;Essence;Euro 6;COVNM;Route;0.004;
VUL;Diesel;Euro 6;N2O;Route;0.004;
VUL;Essence;Euro 6;UTSP;Ville;0.058;
VP;Diesel;Euro 6;N2O;Route;0.004;
PL;Diesel;Euro 6;UTSP;Route;0.125;
VP;Diesel;Euro 6;PM1.0;Route;0.00109;
VUL;Diesel;Euro 6;PM10;Route;0.00094;
PL;Diesel;Euro 6;PM1.0;Ville;0.00838;
PL;Essence;Euro 6;UPM10;Ville;0.115;
PL;Diesel;Euro 6;CO;Route;0.135;
VUL;Diesel;Euro 6;COVNM;Route;0;
PL;Diesel;Euro 6;UTSP;Ville;0.144;
VP;Diesel;Euro 6;UPM2.5;Ville;0.015;
VP;Essence;Euro 6;CO2;Ville;179.3008;
PL;Essence;Euro 6;CH4;Route;0.11;
PL;Diesel;Euro 6;PM10;Route;0.00406;
VP;Diesel;Euro 6;COVNM;Ville;0.001;
BUS;Diesel;Euro 6;NH3;Ville;0.003;
VUL;Essence;Euro 6;N2O;Route;0.00019;
VUL;Diesel;Euro 6;SO2;Route;0.00606;
VUL;Diesel;Euro 6;UPM2.5;Route;0.016;
PL;Essence;Euro 6;NOx;Route;4.2707;
VUL;Diesel;Euro 6;UTSP;Route;0.044;
VUL;Diesel;Euro 6;CO2;Route;192.24183;
VP;Essence;Euro 6;NH3;Route;0.006;
VP;Essence;Euro 6;UTSP;Route;0.033;
VP;Diesel;Euro 6;SO2;Ville;0.00588;
VUL;Essence;Euro 6;ECOVNM;Route;0.044;
Bus;Diesel;Euro 6;PM10;Ville;0.00888;
BUS;Diesel;Euro 6;CO;Route;0.147;
PL;Diesel;Euro 6;COVNM;Ville;0.064;
VP;Essence;Euro 6;PM1.0;Ville;0.00125;
VP;Diesel;Euro 6;UTSP;Route;0.033;
VP;Diesel;Euro 6;UPM1.0;Route;0.001;
VUL;Essence;Euro 6;SO2;Route;0.0042;
VP;Essence;Euro 6;NH3;Ville;0.01;
VUL;Diesel;Euro 6;N2O;Ville;0.00995;
VP;Diesel;Euro 6;NOx;Route;0.39626;
VP;Diesel;Euro 6;CH4;Ville;0.00007;
Bus;Diesel;Euro 6;CO2;Route;602.92237;
PL;Essence;Euro 6;SO2;Route;0.01052;
VP;Diesel;Euro 6;SO2;Route;0.0041;
VUL;Essence;Euro 6;ECOVNM;Route;0.044;
VP;Essence;Euro 6;UPM10;Route;0.021;
BUS;Diesel;Euro 6;UPM10;Ville;0.116;
PL;Diesel;Euro 6;NH3;Ville;0.003;
VUL;Diesel;Euro 6;PM10;Ville;0.0014;
PL;Essence;Euro 6;UTSP;Ville;0.17;
BUS;Diesel;Euro 6;NH3;Route;0.002;
VP;Essence;Euro 6;SO2;Route;0.00349;
VP;Essence;Euro 6;CH4;Route;0.00204;
VP;Essence;Euro 6;SO2;Ville;0.00562;
PL;Essence;Euro 6;PM2.5;Route;0.00492;
VP;Essence;Euro 6;UPM10;Ville;0.029;
VUL;Essence;Euro 6;UPM10;Route;0.028;
PL;Essence;Euro 6;N2O;Route;0.006;
Bus;Diesel;Euro 6;PM2.5;Ville;0.00888;
PL;Essence;Euro 6;PM10;Route;0.00492;
PL;Essence;Euro 6;UPM10;Route;0.094;
VUL;Diesel;Euro 6;COVNM;Ville;0;
VP;Diesel;Euro 6;NH3;Route;0.007;
PL;Essence;Euro 6;CO;Ville;6.155;
PL;Essence;Euro 6;UTSP;Route;0.147;
VP;Diesel;Euro 6;UPM10;Ville;0.029;
VUL;Essence;Euro 6;COVNM;Ville;0.015;
VUL;Essence;Euro 6c;UPM2.5;Route;0.016;
VP;Diesel;Euro 6c;N2O;Route;0.004;
VUL;Essence;Euro 6c;N2O;Route;0.00021;
VP;Diesel;Euro 6c;PM2.5;Ville;0.00203;
VP;Diesel;Euro 6c;CO;Route;0.04;
VP;Essence;Euro 6c;PM10;Route;0.0014;
VP;Diesel;Euro 6c;PM1.0;Route;0.00109;
VUL;Essence;Euro 6c;PM10;Ville;0.00089;
VP;Essence;Euro 6c;UPM1.0;Ville;0.002;
VUL;Essence;Euro 6c;PM10;Route;0.00205;
VP;Diesel;Euro 6c;SO2;Route;0.00417;
VUL;Essence;Euro 6c;UPM2.5;Ville;0.022;
VP;Diesel;Euro 6c;UPM10;Ville;0.029;
VP;Diesel;Euro 6c;UPM1.0;Route;0.001;
VP;Diesel;Euro 6c;NOx;Route;0.30272;
VP;Essence;Euro 6c;ECOVNM;Ville;0.096;
VP;Diesel;Euro 6c;UTSP;Route;0.033;
VP;Essence;Euro 6c;UPM2.5;Ville;0.015;
VUL;Essence;Euro 6c;COVNM;Route;0.004;
VP;Essence;Euro 6c;UTSP;Route;0.033;
VP;Essence;Euro 6c;PM2.5;Ville;0.00185;
VUL;Essence;Euro 6c;COVNM;Ville;0.015;
VUL;Essence;Euro 6c;SO2;Route;0.00428;
VP;Essence;Euro 6c;SO2;Route;0.0035;
VP;Diesel;Euro 6c;N2O;Ville;0.00995;
VP;Diesel;Euro 6c;PM10;Route;0.00118;
VUL;Essence;Euro 6c;ECOVNM;Route;0.037;
VP;Essence;Euro 6c;PM10;Ville;0.00185;
VP;Diesel;Euro 6c;COVNM;Route;0.001;
VUL;Essence;Euro 6c;UPM10;Ville;0.041;
VP;Essence;Euro 6c;COVNM;Ville;0.019;
VUL;Essence;Euro 6c;NH3;Route;0.009;
VUL;Essence;Euro 6c;N2O;Ville;0.00973;
VUL;Essence;Euro 6c;NOx;Ville;0.07342;
VUL;Essence;Euro 6c;UTSP;Route;0.044;
VP;Diesel;Euro 6c;SO2;Ville;0.00598;
VUL;Essence;Euro 6c;ECOVNM;Ville;0.099;
VP;Diesel;Euro 6c;UPM2.5;Route;0.012;
VUL;Essence;Euro 6c;PM2.5;Route;0.00205;
VP;Essence;Euro 6c;PM2.5;Route;0.0014;
VUL;Essence;Euro 6c;CH4;Ville;0.02936;
VUL;Essence;Euro 6c;UPM10;Route;0.028;
VP;Essence;Euro 6c;CH4;Route;0.00204;
VP;Essence;Euro 6c;PM1.0;Ville;0.00138;
VP;Essence;Euro 6c;PM1.0;Route;0.00104;
VP;Essence;Euro 6c;UPM10;Ville;0.029;
VP;Essence;Euro 6c;CO2;Ville;179.21579;
VUL;Essence;Euro 6c;CH4;Route;0.002;
VUL;Essence;Euro 6c;CO;Route;0.416;
VP;Essence;Euro 6c;CO2;Route;111.73131;
VP;Essence;Euro 6c;SO2;Ville;0.00562;
VP;Diesel;Euro 6c;CO;Ville;0.066;
VUL;Essence;Euro 6c;NH3;Ville;0.012;
VUL;Essence;Euro 6c;SO2;Ville;0.00737;
VUL;Essence;Euro 6c;CO2;Route;136.51006;
VP;Diesel;Euro 6c;PM2.5;Route;0.00118;
VP;Essence;Euro 6c;N2O;Ville;0.00227;
VUL;Essence;Euro 6c;ECOVNM;Ville;0.099;
VP;Essence;Euro 6c;UPM2.5;Route;0.012;
VP;Essence;Euro 6c;N2O;Route;0.00015;
VP;Diesel;Euro 6c;UPM10;Route;0.021;
VP;Essence;Euro 6c;NH3;Ville;0.01;
VP;Diesel;Euro 6c;NH3;Route;0.007;
VP;Essence;Euro 6c;NH3;Route;0.006;
VUL;Essence;Euro 6c;PM2.5;Ville;0.00089;
VP;Essence;Euro 6c;CO;Route;0.22;
VP;Diesel;Euro 6c;NH3;Ville;0.003;
VP;Diesel;Euro 6c;CO2;Ville;189.96968;
VP;Essence;Euro 6c;UPM1.0;Route;0.001;
VP;Diesel;Euro 6c;UTSP;Ville;0.042;
VUL;Essence;Euro 6c;PM1.0;Ville;0.00066;
VP;Diesel;Euro 6c;NOx;Ville;0.42286;
VUL;Essence;Euro 6c;CO2;Ville;235.1847;
VP;Essence;Euro 6c;UTSP;Ville;0.042;
VP;Essence;Euro 6c;CH4;Ville;0.02803;
VUL;Essence;Euro 6c;UPM1.0;Ville;0.003;
VP;Essence;Euro 6c;CO;Ville;0.299;
VUL;Essence;Euro 6c;ECOVNM;Route;0.037;
VP;Diesel;Euro 6c;UPM1.0;Ville;0.002;
VP;Essence;Euro 6c;ECOVNM;Ville;0.096;
VP;Essence;Euro 6c;ECOVNM;Route;0.036;
VUL;Essence;Euro 6c;CO;Ville;0.563;
VP;Essence;Euro 6c;COVNM;Route;0.004;
VP;Diesel;Euro 6c;PM1.0;Ville;0.00188;
VP;Essence;Euro 6c;UPM10;Route;0.021;
VP;Diesel;Euro 6c;CO2;Route;132.34817;
VP;Diesel;Euro 6c;CH4;Ville;0.00007;
VP;Diesel;Euro 6c;UPM2.5;Ville;0.015;
VP;Essence;Euro 6c;ECOVNM;Route;0.036;
VP;Essence;Euro 6c;NOx;Route;0.02226;
VUL;Essence;Euro 6c;UTSP;Ville;0.058;
VUL;Essence;Euro 6c;NOx;Route;0.01461;
VUL;Essence;Euro 6c;UPM1.0;Route;0.002;
VP;Diesel;Euro 6c;PM10;Ville;0.00203;
VP;Essence;Euro 6c;NOx;Ville;0.08302;
VP;Diesel;Euro 6c;COVNM;Ville;0.001;
VUL;Essence;Euro 6c;PM1.0;Route;0.00153;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
